,description_en
7529,"Census of Agriculture, crop residue baled in the year prior to the census"
2732,The Public Transit Fund delivered investments of $400 million in public transit infrastructure in large cities and small communities. This funding contributed to a cleaner environment by reducing greenhouse gas emissions and decreasing traffic congestion. Funding was allocated to provinces and territories on a per capita basis. (2005-2006)
2118,"Environment Canada (EC) identified the need to establish background soil data, specific to Atlantic Canada that could be used during the assessment of federal contaminated sites in the Atlantic region. This data can be used to estimate region-specific background soil concentrations, particularly for metals, in areas where naturally occurring concentrations exceed the soil quality guidelines established by the Canadian Council of Ministers of the Environment (CCME). Other jurisdictions, such as British Columbia, Ontario and Quebec have existing soils databases and EC determined that a similar database for the Atlantic region would be useful.  The background soils database allows for the screening of site data to determine if it is within the typical background range."
7506,Frozen vegetables in storages and factories
1156,These reports presents an annual comprehensive and detailed account of Canadian International Assistance.
10655,location of DG facilities in Edmonton region. They represent the locations of DG truck trip-ends where DG are loaded/unloaded for storage or further handling. Also included with the facilities are businesses who utilize or sell DG.
3476,"The park correlates pitcher plant morpology with availability of atmospheric nitrogen, as the latter may affect pitcher-plant development."
4765,"Survey of innovation and business strategy, products directly competing with highest selling good or service in the enterprise's main market, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
2604,"The datasets provide results from the radionuclide specific analysis performed on drinking water samples collected on a monthly basis from Elliot Lake, Port Hope and Regina.  The monthly samples are tested for Uranium-24/235/238.  They are then composited and analyzed every quarter for radium-226 and radium-228 analysis. "
5577,"Central government operations: budgetary balance, non-budgetary transactions, and financial source/requirement"
1603,"In 1994 the license stub program was implemented to replace the collection of angling data by DFO Guardians. The recreational salmon licenses distributed and sold by the provincial department of Forest Resources and Agrifoods, Wildlife Division, includes an angler activity report card, and a copy of the license application to be sent to DFO, Salmonid Section. This information is contained in two SAS databases 1) The Atlantic salmon recreational license application database contains information such as license number, name, mailing address, telephone number, MCP number and date of license purchase and 2) the angler activity report card database contains license number, when and where and how long the person fished and any information on catch (retained and released). The data can be accessed and analysed using SAS programs. Purpose: Data are used, in conjunction with biological characteristics data and fishway and counting fence data, for stock assessment. Purposes, to determine status of stocks and provision of scientific advice to resource managers; used by economists, sociologists, planners in the tourism industry, the general angling public, among others."
6972,"Canadian vehicle survey, fuel purchased, by type of vehicle and type of fuel"
1087,The indicator represents the median days from the date of first release to the start date of the first community-based Nationally Recognized Correctional Program (NRCP) assignment. 
8420,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
2648,"The Canadian Importers Database (CID) provides summary reports and lists of companies importing goods into Canada. Users importing data in Excel using the default settings need to be aware that the HS6 and HS10 codes will, by default, be interpreted as a number and will lose the leading zero were applicable. "
8319,Provides a statistical overview of various geographic areas based on a number of detailed variables.
6268,Farm product price index (FPPI)
6018,National balance sheet
3085,"The Canadian Geographical Names Data Base (CGNDB) is the authoritative national database of Canada's geographical names. The purpose of the CGNDB is to store place names and their attributes that have been approved by the Geographical Names Board of Canada (GNBC), the national coordinating body responsible for standards and policies on place names. The CGNDB is maintained by Natural Resources Canada, through the Canada Centre for Mapping and Earth Observation. The geographic extent of the CGNDB is the Canadian landmass and water bodies; the temporal extent is from 1897 to present. This dataset is extracted from the CGNDB on a weekly basis, and consists of current officially approved names, feature type, coordinates of the feature, decision date, source, and other attributes. The output file formats for this product are:  text (CSV), Shape (SHP), Geography Markup Language (GML), and Keyhole Markup Language (KML)."
5371,"Provincial and territorial general governments, financial assets and liabilities, by province and territory"
2585,A series of health-related data sets from various quantitative public opinion research studies. 
8797,"Physical activity level, changes between 1994/1995 and 2010/2011, by age group"
8926,"Consumer Price Index, by province (monthly)"
5162,"The Canadian International Merchandise Trade (CIMT) online database offers detailed trade data using the Harmonized System (HS) classification of goods (based on the 6-digit commodity level). In the CIMT, you can select your own variables (e.g., trading partner, province, state, year, month, or other frequency) to create a customized data report. 

In general, merchandise trade data are revised on an ongoing basis for each month of the current year.The previous year's customs data are revised with the release of the January and February reference months as well as on a quarterly basis. The previous two years of customs based data are revised annually and are released in February with the December reference month."
8036,"Industry price indexes for chemical products, by regions"
9464,"Health behaviour in school-aged children 2002, student response to question: How often do you drink anything alcoholic?"
7903,"Survey of innovation, selected service industries, percentage of full-time employees who were university graduates"
1399,Publications related to Nova Scotia's bloodworm (Glycera dibranchiata).
3263,"A file containing the dry mass, leaf area and average perimeter of the needles for the calculation of the specific leaf mass. Measured needles were obtained from litter boxes collected in 2002 from 3 PERD sites and one ECOLEAP site (Montmorency forest)."
8140,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
5487,"Flows and stocks of fixed non-residential capital, total all industries, by asset, Canada, provinces and territories"
3781,"At the end of each fiscal year, government-wide financial information is published in the Public Accounts. This dataset, based on the Volume 3 of the Public Accounts, provides a detailed listing of the payments (i.e. payments and accrued charges) for professional and special services aggregating to $100,000 or over to one individual or organization. This detail includes the main classification of professional and special services, the name and location of the payee, together with the total amount paid. In cases where organizations have more than one place of business, their Head Office location was used for reporting purposes. In addition, this statement presents, for each main classification of services, the total amount of payments to one individual or organization aggregating to less than $100,000 and the total number of payees (for fiscal Year 2009-2010 and later). This dataset is from the Public Accounts of Canada and is not the official record of information. The official version of record can be found on the Receiver General website for the most recent fiscal year and the Library and Archives website for historical years. "
9752,"Production and shipments of particleboard, oriented strandboard and fibreboard"
7041,"Youth custody and community services (YCCS), releases from correctional services, by length of time served and sex"
3638,Not Available
1761,"This data-set lists mercury levels in muscle tissue (fillet) from several freshwater and anadromous fish species collected in Labrador during the summer of 1977 and 1978. Samples were taken from 88 different locations throughout Labrador with particular emphasis on the Smallwood Reservoir. Various meristic data were also examined (i.e. length, weight, sex, and age determination from otoliths). Purpose: For those interested in contaminant research."
9449,"Distribution of farms, by revenue class, farm type and net operating income group, incorporated and unincorporated sectors, Canada"
8510,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
5006,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
651,"Visitor Visas (V-1 Counterfoil Only) Issued Overseas, in persons."
5369,"Asthma, by sex, provinces and territories"
5745,"Recruitment pertaining to the adoption of advanced technologies between 2012 and 2014, by North American Industry Classification System (NAICS) and enterprise size"
9748,"Number of non-resident travellers entering Canada, by country of residence (excluding the United States)"
176,"In 2013, the Earth Observation Team of the Science and Technology Branch (STB) at Agriculture and Agri-Food Canada (AAFC) repeated the process of generating annual crop inventory digital maps using satellite imagery to for all of Canada, in support of a national crop inventory.  A Decision Tree (DT) based methodology was applied using optical (Landsat-8) and radar (RADARSAT-2) based satellite images, and having a final spatial resolution of 30m. In conjunction with satellite acquisitions, ground-truth information was provided by provincial crop insurance companies and point observations from the BC Ministry of Agriculture and our regional AAFC colleagues."
9429,"Live births, by place of residence of mother and place of occurrence, Canada, provinces, territories and outside Canada"
190,"The “Biomass Agriculture Inventory 1-in-20 Probability” dataset is a standalone summary table that contains the estimated 1-in-20 year low for agricultural residue yield and crop production for each Biomass Report Framework. It provides the fifth percentile values for the years 1985-2010.It includes straw or stover yield information for barley, wheat, flax, oats and corn, and crop production information for barley, wheat, flax, oats, corn, canola and soybean.Residue yields were derived from crop-to-residue ratios and climactic data. Crop production area is the area reported as being in agricultural production by Statistics Canada.This dataset also includes information about the type of tillage used in the area, demand for straw used for cattle bedding and feed, and the amount of residue that should remain on the field to prevent soil erosion, which is determined by the type of tillage used."
3822,Notices of complaints and investigations received by Public Services and Procurement Canada from the Information Commissioner of Canada under the Privacy Act
